	TS0F1s_1	TS0F1s_2	TS0F1s_3	TS0F1s_4	TS0F2s_1	TS0F2s_2	TS0F2s_3	TS0F2s_4	TS1F1s_1	TS1F1s_3	TS1F1s_4	TS1F2s_1	TS1F2s_2	TS1F2s_3	TS1F2s_4
TS0F1s_1	0.0	0.48392545136866627	0.3584740827023879	0.40710541642399534	0.35329062317996507	0.38002329644729177	0.4140361094933023	0.45707629586488063	0.4171228887594642	0.4056493884682586	0.4701223063482819	0.40844496214327314	0.4403610949330227	0.4419918462434479	0.4362259755387303
TS0F1s_2	0.48392545136866627	0.0	0.4287711124053582	0.3967384973791497	0.5385556202679092	0.5161910308677926	0.42981945253348863	0.4351776354105999	0.5749563191613279	0.49132207338380895	0.47914967967384975	0.4545136866627839	0.4306930693069307	0.4735585323238206	0.508561444379732
TS0F1s_3	0.3584740827023879	0.4287711124053582	0.0	0.3574839836924869	0.3763541059988352	0.4212580081537565	0.36295864880605705	0.3965055329062318	0.4657542224810716	0.39732090856144436	0.42754804892253934	0.38404193360512523	0.41118229470005824	0.3918462434478742	0.4335468841001747
TS0F1s_4	0.40710541642399534	0.3967384973791497	0.3574839836924869	0.0	0.46686080372743155	0.442632498543972	0.35661036691904485	0.4031450203843914	0.4870122306348282	0.41193942923704135	0.42067559697146184	0.4007571345369831	0.4454280722189866	0.4111240535818288	0.442748980780431
TS0F2s_1	0.35329062317996507	0.5385556202679092	0.3763541059988352	0.46686080372743155	0.0	0.39930110658124635	0.41467676179382645	0.44472917880023294	0.4120559114735003	0.3910308677926616	0.43523587652882934	0.4124053581828771	0.39965055329062316	0.4072218986604543	0.4219569015725102
TS0F2s_2	0.38002329644729177	0.5161910308677926	0.4212580081537565	0.442632498543972	0.39930110658124635	0.0	0.4254513686662784	0.43733255678509025	0.3093185789167152	0.4178217821782178	0.4246942341292953	0.42818870122306346	0.4259755387303436	0.43814793244030287	0.3976703552708212
TS0F2s_3	0.4140361094933023	0.42981945253348863	0.36295864880605705	0.35661036691904485	0.41467676179382645	0.4254513686662784	0.0	0.31170646476412345	0.46208503203261503	0.3449039021549214	0.3191030867792662	0.3452533488642982	0.3819452533488643	0.3178217821782178	0.35963890506697727
TS0F2s_4	0.45707629586488063	0.4351776354105999	0.3965055329062318	0.4031450203843914	0.44472917880023294	0.43733255678509025	0.31170646476412345	0.0	0.48765288293535236	0.408677926616191	0.32842166569598136	0.3951077460687245	0.38782760629004076	0.3675596971461852	0.3468258590564939
TS1F1s_1	0.4171228887594642	0.5749563191613279	0.4657542224810716	0.4870122306348282	0.4120559114735003	0.3093185789167152	0.46208503203261503	0.48765288293535236	0.0	0.45195107746068724	0.4527664531158998	0.44944670937682	0.46959813628421665	0.4588235294117647	0.4512521840419336
TS1F1s_3	0.4056493884682586	0.49132207338380895	0.39732090856144436	0.41193942923704135	0.3910308677926616	0.4178217821782178	0.3449039021549214	0.408677926616191	0.45195107746068724	0.0	0.3532323820617356	0.32393709959231215	0.3821782178217822	0.33313919627256844	0.3754804892253931
TS1F1s_4	0.4701223063482819	0.47914967967384975	0.42754804892253934	0.42067559697146184	0.43523587652882934	0.4246942341292953	0.3191030867792662	0.32842166569598136	0.4527664531158998	0.3532323820617356	0.0	0.3636575422248107	0.3784507862550961	0.33278974956319163	0.3203843913803145
TS1F2s_1	0.40844496214327314	0.4545136866627839	0.38404193360512523	0.4007571345369831	0.4124053581828771	0.42818870122306346	0.3452533488642982	0.3951077460687245	0.44944670937682	0.32393709959231215	0.3636575422248107	0.0	0.3699475829935935	0.3118229470005824	0.3750728013977868
TS1F2s_2	0.4403610949330227	0.4306930693069307	0.41118229470005824	0.4454280722189866	0.39965055329062316	0.4259755387303436	0.3819452533488643	0.38782760629004076	0.46959813628421665	0.3821782178217822	0.3784507862550961	0.3699475829935935	0.0	0.3764705882352941	0.39603960396039606
TS1F2s_3	0.4419918462434479	0.4735585323238206	0.3918462434478742	0.4111240535818288	0.4072218986604543	0.43814793244030287	0.3178217821782178	0.3675596971461852	0.4588235294117647	0.33313919627256844	0.33278974956319163	0.3118229470005824	0.3764705882352941	0.0	0.3563191613278975
TS1F2s_4	0.4362259755387303	0.508561444379732	0.4335468841001747	0.442748980780431	0.4219569015725102	0.3976703552708212	0.35963890506697727	0.3468258590564939	0.4512521840419336	0.3754804892253931	0.3203843913803145	0.3750728013977868	0.39603960396039606	0.3563191613278975	0.0
