ID,taxonomy
OTU_1004,k__Bacteria; p__Gemmatimonadetes; c__S0134_terrestrial_group; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10040,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10041,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10042,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10043,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10044,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10045,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10046,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10047,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10048,k__Bacteria; p__Acidobacteria; c__Subgroup_20; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10049,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1005,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j; f__unidentified; g__unidentified; s__unidentified
OTU_10050,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10051,k__Bacteria; p__Parcubacteria; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10052,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10053,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10054,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10055,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10056,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10057,k__Bacteria; p__Parcubacteria; c__groundwater_metagenome; o__groundwater_metagenome; f__groundwater_metagenome; g__groundwater_metagenome; s__groundwater_metagenome
OTU_10058,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10059,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_1006,k__Bacteria; p__Acidobacteria; c__Subgroup_17; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10060,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10061,k__Bacteria; p__Parcubacteria
OTU_10062,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10063,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria
OTU_10064,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__unidentified; g__unidentified; s__unidentified
OTU_10065,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_10066,k__Bacteria; p__Microgenomates; c__Candidatus_Pacebacteria
OTU_10067,k__Bacteria; p__Peregrinibacteria; c__Candidatus_Peribacteria; o__unidentified; f__unidentified; g__unidentified; s__unidentified
