ID,BS0F1s_1,BS0F1s_2,BS0F1s_3,BS0F1s_4,BS0F2s_1,BS0F2s_2,BS0F2s_3,BS0F2s_4,BS1F1s_1,BS1F1s_2,BS1F1s_3,BS1F1s_4,BS1F2s_1,BS1F2s_2,BS1F2s_3,BS1F2s_4,DS0F1s_1,DS0F1s_2,DS0F1s_3,DS0F1s_4,DS0F2s_2,DS0F2s_3,DS0F2s_4,DS1F1s_1,DS1F1s_2,DS1F1s_3,DS1F1s_4,DS1F2s_1,DS1F2s_2,DS1F2s_3,DS1F2s_4,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_13832,0,0,3,0,0,0,0,0,1,0,0,1,1,0,3,1,1,3,1,2,1,2,3,1,2,2,1,3,1,0,0,1,0,0,1,4,3,0,5,3,8,1,0,1,0,1
OTU_13833,0,2,2,3,2,2,0,2,1,0,0,3,1,0,6,0,3,8,2,1,2,1,3,1,2,1,5,1,0,4,3,1,0,4,1,0,1,6,1,0,7,3,3,2,4,3
OTU_13834,2,5,1,0,1,1,2,0,1,0,1,1,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,1,6,0,0,4,1,0,2,0
OTU_13835,1,0,1,0,0,2,3,1,2,2,0,0,0,1,0,0,0,0,3,2,1,1,0,1,1,1,10,4,3,4,1,2,1,0,2,0,2,1,1,0,4,2,1,3,1,2
OTU_13836,0,3,2,2,1,0,2,0,2,0,0,1,1,1,3,1,0,1,1,1,0,1,0,0,0,2,1,0,0,6,1,0,0,0,1,4,0,2,2,1,1,2,0,0,0,0
OTU_13837,0,0,0,0,0,2,1,9,2,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13838,0,3,1,0,0,2,1,0,1,0,0,1,0,1,1,0,2,2,0,1,1,1,0,0,5,1,2,0,2,0,1,3,0,1,9,3,2,2,3,2,2,5,1,1,2,1
OTU_13839,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0,3,2,1,1,4,2,1,0,0,1,0,0,7,2,0,2,6,1,0,0,2,4,0,1,2,0,1,0,1,0,1
OTU_1384,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_13840,3,2,0,1,3,0,1,0,2,0,3,0,2,0,2,0,0,5,3,3,5,0,2,2,1,0,1,0,0,2,0,5,1,14,2,0,0,0,0,0,1,1,2,0,0,2
