ID,TS0F1s_1,TS0F1s_2,TS0F1s_3,TS0F1s_4,TS0F2s_1,TS0F2s_2,TS0F2s_3,TS0F2s_4,TS1F1s_1,TS1F1s_3,TS1F1s_4,TS1F2s_1,TS1F2s_2,TS1F2s_3,TS1F2s_4
OTU_108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1081,1,6,0,0,0,0,20,0,4,1,11,0,0,0,57
OTU_1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1084,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
OTU_1085,9,14,16,21,5,15,21,9,9,8,8,21,12,27,5
OTU_1086,0,2,1,26,0,0,88,11,0,2,43,0,0,2,4
OTU_1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1088,0,1,0,0,0,2,0,0,0,1,6,0,0,0,1
OTU_1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
OTU_1090,4,0,0,1,0,34,0,0,0,0,0,0,0,0,0
OTU_1091,2,0,0,1,11,0,0,0,1,0,0,0,0,1,0
OTU_1092,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
OTU_1093,0,0,1,0,0,0,0,0,0,2,1,0,2,0,3
OTU_1094,2,0,0,1,1,2,0,0,1,5,0,0,2,0,0
OTU_1095,25,3,63,28,17,12,15,67,68,2,3,19,8,31,1
OTU_1096,250,214,209,266,169,112,93,28,224,286,406,410,384,181,160
OTU_1097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OTU_1098,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
OTU_1099,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
OTU_11,1278,1673,1851,1040,2069,1554,2116,1488,1527,861,823,1399,436,1509,877
OTU_110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1100,0,14,128,3,4,6,1,0,0,9,0,1,0,0,0
OTU_1101,2,2,1,7,7,4,1,18,0,1,1,2,0,1,2
OTU_1102,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1
OTU_1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
