"","tax_indic_sign","BF","DF","TF","index","stat","p.value"
"OTU_3584","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,1,0,4,0.341026178450327,0.0457
"OTU_3604","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_sp",1,0,0,1,0.303590516555379,0.0278
"OTU_3606","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus; s__Rhizophagus_sp",1,0,0,1,0.617710546706987,2e-04
"OTU_3613","k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.469982146911412,0.0021
"OTU_3639","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__Glomus_aggregatum",1,1,0,4,0.355929464290693,0.0351
"OTU_3683","k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__Mycena_alexandri",1,0,0,1,0.444158766615692,0.0043
"OTU_3716","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Hannaella; s__Hannaella_zeae",1,0,0,1,0.353195287400172,0.037
"OTU_3721","k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Rhynchogastremataceae; g__Papiliotrema; s__Papiliotrema_flavescens",1,0,0,1,0.354133080832236,0.0362
"OTU_3723","k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.375380951247952,0.0184
"OTU_3742","k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Phaffomycetaceae; g__Starmera; s__Starmera_stellimalicola",1,0,0,1,0.429087006969347,0.0078
"OTU_3754","k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__unidentified; s__unidentified",1,1,0,4,0.347432226350326,0.0399
