BF	DF	TF	index	stat	p.value
OTU_2356	0	1	1	6	0.401857586104674	0.0115
OTU_2432	0	0	1	3	0.235382578004726	1e-04
OTU_2494	0	0	1	3	0.347777621596212	0.0087
OTU_2544	0	0	1	3	0.496266972819077	0.001
OTU_2591	0	0	1	3	0.36403289952157	0.0327
OTU_2629	0	0	1	3	0.462186772751336	0.0019
OTU_2846	0	0	1	3	0.523229497502545	3e-04
OTU_2878	0	0	1	3	0.450681903384957	1e-04
OTU_2924	0	0	1	3	0.486258305608044	9e-04
OTU_2930	0	0	1	3	0.551548963789555	1e-04
OTU_3047	0	0	1	3	0.404025888700821	0.0113
OTU_3063	0	0	1	3	0.482013713426947	0.0018
OTU_3133	0	0	1	3	0.554174727984825	3e-04
OTU_3143	0	0	1	3	0.457845215449493	0.0034
OTU_3211	0	0	1	3	0.589988759284923	3e-04
OTU_3221	0	0	1	3	0.365672164239077	0.0207
OTU_3225	0	0	1	3	0.353262118784324	0.0191
OTU_3300	0	0	1	3	0.445840545041178	0.0061
OTU_3369	0	0	1	3	0.419702415497067	0.0071
OTU_3796	0	0	1	3	0.394499701321863	0.0152
OTU_411	1	0	1	5	0.473844593173549	0.0023
OTU_438	0	0	1	3	0.311991032461065	0.0462
OTU_683	0	1	1	6	0.346645118933967	0.0454
OTU_926	0	0	1	3	0.28101192005759	0.0327
