s.BF	s.DF	s.TF	index	stat	p.value
OTU_1733	0	1	0	2	0.317692910130159	0.0715
OTU_1735	1	0	0	1	0.326863385028387	0.0347
OTU_1737	0	1	0	2	0.32109357166304	0.0735
OTU_1746	1	0	1	5	0.489119202356461	0.0019
OTU_1749	1	1	0	4	0.248644603061491	0.2184
OTU_1758	1	1	0	4	0.220639670458636	0.3157
OTU_1759	1	0	1	5	0.0952918245647385	0.8326
OTU_1761	1	0	1	5	0.107490853916349	0.759
OTU_1763	0	0	1	3	0.125433901345634	0.6902
OTU_1764	0	0	1	3	0.210527846942227	0.3457
OTU_1771	1	0	0	1	0.0943917429404022	0.8613
OTU_1783	0	1	1	6	0.214471452264742	0.3304
OTU_1787	1	1	0	4	0.231776924054551	0.2713
OTU_1789	0	0	1	3	0.250925910235449	0.2018
OTU_1793	1	0	0	1	0.139437907179393	0.9917
OTU_1822	0	1	0	2	0.0931204001701886	0.8274
OTU_1828	1	0	0	1	0.0605472705222296	0.9236
OTU_1829	1	0	1	5	0.15758656629609	0.569
OTU_1838	1	0	0	1	0.375497120647375	0.0216
OTU_1839	1	0	0	1	0.25740813322198	0.1992
OTU_1840	0	1	1	6	0.111337435340377	0.7786
OTU_1842	0	1	0	2	0.241932200564233	0.2384
OTU_1858	1	0	1	5	0.103070150163194	0.8078
OTU_1859	0	0	1	3	0.142246508949526	0.7295
OTU_1865	1	0	0	1	0.534469110893378	4e-04
OTU_1867	1	0	0	1	0.257999158150552	0.1971
OTU_187	1	0	0	1	0.500899879475396	0.0013
OTU_1890	0	1	1	6	0.122718694775313	0.701
OTU_19	0	0	1	3	0.229912624389464	0.2875
OTU_1901	0	1	1	6	0.12125923001642	0.7161
OTU_1902	1	0	1	5	0.169403092500831	0.6355
OTU_1909	0	1	0	2	0.136798737859353	0.641
OTU_1912	1	0	1	5	0.215500632343619	0.3373
OTU_1920	0	1	0	2	0.468109727974008	0.0028
OTU_1924	0	1	0	2	0.252677409669824	1e-04
OTU_1935	0	0	1	3	0.3254759256566	0.0572
OTU_1940	0	0	1	3	0.388353892466582	0.0188
OTU_1960	0	1	0	2	0.307535240613219	0.032
OTU_1961	1	1	0	4	0.108785460558591	0.9168
OTU_1966	0	0	1	3	0.138005843169683	0.6415
OTU_1985	0	0	1	3	0.190520770622024	0.4698
OTU_2	1	0	1	5	0.0838132864213527	0.8948
OTU_2001	1	1	0	4	0.281079430699238	0.1309
OTU_2004	1	0	0	1	0.331415626913865	0.0485
OTU_2013	0	1	0	2	0.413358717438087	0.004
OTU_2014	1	0	0	1	0.112816774750101	0.7378
OTU_2023	0	1	0	2	0.176798183743701	0.4778
OTU_2025	1	1	0	4	0.260190791321653	0.199
OTU_2036	1	0	0	1	0.072092563697294	0.8984
OTU_2037	0	1	1	6	0.117589451665834	0.8714
OTU_2040	1	0	1	5	0.13758576593153	0.7569
OTU_2044	1	0	0	1	0.41696104750695	0.0103
OTU_2048	0	0	1	3	0.191574348789265	0.4119
OTU_2056	0	1	1	6	0.385177380085485	0.0225
OTU_2067	1	1	0	4	0.0829784255839017	0.8518
OTU_2068	0	0	1	3	0.24476711713212	0.2298
OTU_2081	1	0	0	1	0.190183505296924	0.4602
OTU_2083	0	1	0	2	0.272915436623127	0.1555
OTU_2087	0	0	1	3	0.0439374552451023	0.9505
OTU_2092	0	0	1	3	0.0285392931230729	0.9832
OTU_2094	0	1	0	2	0.389650777480326	0.017
OTU_2095	1	0	0	1	0.130123393543354	0.8553
OTU_2104	1	1	0	4	0.186605038627762	0.4504
OTU_2121	0	1	0	2	0.11912296195027	0.7567
OTU_2125	1	0	0	1	0.395268924658743	0.01
OTU_2126	0	0	1	3	0.221407172178562	0.3264
OTU_2129	0	1	1	6	0.0525029868032645	0.9385
OTU_2130	1	1	0	4	0.207226342006694	0.3733
OTU_2133	1	0	1	5	0.0740962105607074	0.8843
OTU_2157	0	0	1	3	0.0837009953936791	0.9175
OTU_2158	1	0	0	1	0.206760670255233	0.3873
OTU_2160	1	0	1	5	0.176062672185666	0.4861
OTU_2162	0	1	1	6	0.264481023975009	0.1537
OTU_2164	0	0	1	3	0.326607755245558	0.0642
OTU_2166	0	1	0	2	0.210212052297159	0.3467
OTU_2188	1	0	0	1	0.227154141915444	0.2925
OTU_22	0	1	0	2	0.260754578237578	0.1781
OTU_2202	0	0	1	3	0.153250196816234	0.6618
OTU_2203	1	1	0	4	0.322610679289508	0.0514
OTU_2215	0	1	1	6	0.222057855176947	0.3145
OTU_2216	0	1	0	2	0.0903157998408023	0.8211
OTU_2218	0	0	1	3	0.306883834902983	0.0841
OTU_2221	0	1	0	2	0.509483556016168	5e-04
OTU_2224	1	0	0	1	0.209861843478056	0.3608
OTU_2238	0	0	1	3	0.315806249027762	0.0509
OTU_2239	0	0	1	3	0.243188795497816	0.2103
OTU_2247	0	1	1	6	0.142178299228898	0.6278
OTU_2248	1	0	0	1	0.145357391221031	0.647
OTU_2249	0	1	0	2	0.349262959056164	0.0409
OTU_2256	0	1	0	2	0.294683137390407	0.0962
OTU_2259	0	1	0	2	0.250717179234328	0.2122
OTU_2260	0	1	1	6	0.30295400754405	0.0965
OTU_2270	0	1	1	6	0.16308110073799	0.5462
OTU_2279	0	0	1	3	0.256317329544145	0.1696
OTU_2282	1	1	0	4	0.432874972985934	0.0048
