s.BF	s.DF	s.TF	index	stat	p.value
OTU_411	1	0	1	5	0.473844593173549	0.0023
OTU_415	1	1	0	4	0.336838793892449	0.0523
OTU_427	0	0	1	3	0.248109820417408	0.2147
OTU_438	0	0	1	3	0.311991032461065	0.0462
OTU_439	1	1	0	4	0.360673058077741	0.0349
OTU_473	1	0	0	1	0.26905867601614	0.0626
OTU_5	1	0	0	1	0.347523019451448	0.0423
OTU_568	1	1	0	4	0.326773567319559	0.0648
OTU_593	1	1	0	4	0.321583557054514	0.0666
OTU_616	0	0	1	3	0.219274115772646	0.3179
OTU_620	0	0	1	3	0.22818747196901	0.2934
OTU_650	0	0	1	3	0.151091311620701	0.6918
OTU_681	1	0	1	5	0.201608884071531	0.3988
OTU_683	0	1	1	6	0.346645118933967	0.0454
OTU_688	0	1	0	2	0.29073044012616	0.1306
OTU_69	0	0	1	3	0.188876841633894	0.5308
OTU_699	0	1	0	2	0.403839312865404	0.0083
OTU_706	0	1	0	2	0.21304342753714	0.3453
OTU_719	0	1	0	2	0.282540335153042	0.1111
OTU_750	1	1	0	4	0.27068712958947	0.1613
OTU_755	0	1	0	2	0.309259464692441	0.0705
OTU_766	1	1	0	4	0.227535270629166	0.3001
OTU_767	0	1	0	2	0.0746269322948668	0.9262
OTU_769	1	1	0	4	0.31518582251734	0.0685
OTU_782	0	1	1	6	0.197773442811289	0.4282
OTU_784	0	0	1	3	0.205809362116194	0.3481
OTU_790	1	0	0	1	0.250303211691214	0.2177
OTU_792	0	1	0	2	0.309858838061092	0.0829
OTU_794	1	1	0	4	0.0537020285407177	0.9519
OTU_8	0	0	1	3	0.208078201396067	0.3467
OTU_805	1	0	1	5	0.207223525722555	0.3519
OTU_833	1	0	0	1	0.261102101896915	0.1644
OTU_846	1	0	0	1	0.241848057964772	0.2337
OTU_849	0	0	1	3	0.13822213683984	0.6334
OTU_854	0	1	0	2	0.223365519327622	0.0167
OTU_870	1	0	0	1	0.231450332964186	0.1738
OTU_877	1	0	0	1	0.248626103093724	0.2209
OTU_884	1	0	1	5	0.240530517156923	0.234
OTU_897	1	0	0	1	0.327130967812418	0.0668
OTU_9	0	1	1	6	0.273909487870951	0.1572
OTU_913	0	1	0	2	0.248784780541009	0.0996
OTU_926	0	0	1	3	0.28101192005759	0.0327
OTU_931	1	1	0	4	0.16799119651529	0.5135
OTU_938	1	0	1	5	0.101919572705679	0.9507
OTU_948	0	1	1	6	0.0871707140514808	0.9079
OTU_950	0	0	1	3	0.170732262756303	0.4935
OTU_962	0	1	1	6	0.118878703818181	0.7507
OTU_976	1	1	0	4	0.533563347776302	4e-04
OTU_989	0	0	1	3	0.178496985072997	0.4046
OTU_991	1	0	0	1	0.140702938629438	0.6227
OTU_995	1	0	1	5	0.155511612012277	0.5941
OTU_999	0	1	0	2	0.250736754646816	0.1937
